time,harmonic_index,frequency,amplitude
0.011609977324263,1,597.5958752840215,-11.856316
0.023219954648526,1,608.0416671858214,-11.187336
0.0348299319727891,1,622.2539674441617,-12.852272
0.0464399092970521,1,636.7984644737662,-9.652149
0.0580498866213151,1,651.6829230060883,-9.263771
0.0696598639455782,1,659.2551138257398,-8.275635
0.0812698412698412,1,659.2551138257398,-7.535694
0.0928798185941043,1,655.4580837739891,-7.407913
0.1044897959183673,1,651.6829230060883,-7.347679
0.1160997732426303,1,651.6829230060883,-7.4567757
0.1277097505668934,1,647.9295055642311,-7.6851997
0.1393197278911564,1,647.9295055642311,-7.800186
0.1509297052154195,1,651.6829230060883,-7.8318405
0.1625396825396825,1,655.4580837739891,-7.810707
0.1741496598639455,1,659.2551138257398,-8.096172
0.1857596371882086,1,663.0741398488134,-8.61058
0.1973696145124716,1,666.9152892645752,-8.717361
0.2089795918367347,1,666.9152892645752,-8.9784775
0.2205895691609977,1,663.0741398488134,-8.313396
0.2321995464852607,1,663.0741398488134,-8.182251
0.2438095238095238,1,663.0741398488134,-7.8630905
0.2554195011337868,1,663.0741398488134,-7.7606544
0.2670294784580498,1,666.9152892645752,-8.346443
0.2786394557823129,1,666.9152892645752,-9.016117
0.2902494331065759,1,663.0741398488134,-7.834446
0.301859410430839,1,663.0741398488134,-8.002499
0.313469387755102,1,659.2551138257398,-8.299004
0.3250793650793651,1,659.2551138257398,-8.639942
0.3366893424036281,1,659.2551138257398,-8.870045
0.3482993197278911,1,659.2551138257398,-8.885735
0.3599092970521542,1,659.2551138257398,-8.931881
0.3715192743764172,1,655.4580837739891,-8.889282
0.3831292517006803,1,655.4580837739891,-8.8035965
0.3947392290249433,1,655.4580837739891,-8.994247
0.4063492063492063,1,659.2551138257398,-9.292229
0.4179591836734694,1,659.2551138257398,-9.363251
0.4295691609977324,1,663.0741398488134,-9.12431
0.4411791383219954,1,663.0741398488134,-8.971489
0.4527891156462585,1,663.0741398488134,-8.963493
0.4643990929705215,1,663.0741398488134,-8.947254
0.4760090702947845,1,663.0741398488134,-8.992447
0.4876190476190476,1,663.0741398488134,-9.097595
0.4992290249433107,1,663.0741398488134,-9.17157
0.5108390022675737,1,659.2551138257398,-9.190937
0.5224489795918368,1,659.2551138257398,-9.09734
0.5340589569160997,1,655.4580837739891,-9.252914
0.5456689342403628,1,651.6829230060883,-9.543953
0.5572789115646258,1,651.6829230060883,-9.572998
0.5688888888888889,1,651.6829230060883,-9.497185
0.5804988662131519,1,651.6829230060883,-9.519295
0.592108843537415,1,655.4580837739891,-9.466274
0.603718820861678,1,659.2551138257398,-9.237003
0.615328798185941,1,659.2551138257398,-9.377895
0.626938775510204,1,663.0741398488134,-9.931385
0.6385487528344671,1,663.0741398488134,-10.24469
0.6501587301587302,1,663.0741398488134,-10.11829
0.6617687074829932,1,663.0741398488134,-9.932728
0.6733786848072563,1,659.2551138257398,-9.65937
0.6849886621315193,1,655.4580837739891,-9.317261
0.6965986394557823,1,655.4580837739891,-9.284897
0.7082086167800453,1,651.6829230060883,-9.602001
0.7198185941043084,1,651.6829230060883,-9.950748
0.7314285714285714,1,651.6829230060883,-9.994621
0.7430385487528345,1,651.6829230060883,-9.920147
