time,harmonic_index,frequency,amplitude
0.0,1,608.0416671858214,-17.960047
0.034829931972789115,1,615.1067710387686,-11.856316
0.06965986394557823,1,625.8586480068038,-12.092663
0.10448979591836735,1,640.4874004505623,-10.1712265
0.13931972789115646,1,651.6829230060883,-9.652149
0.1741496598639456,1,655.4580837739891,-9.263771
0.2089795918367347,1,659.2551138257398,-8.275635
0.2438095238095238,1,659.2551138257398,-7.535694
0.2786394557823129,1,655.4580837739891,-7.407913
0.313469387755102,1,651.6829230060883,-7.347679
0.3482993197278912,1,647.9295055642311,-7.4567757
0.3831292517006803,1,647.9295055642311,-7.6851997
0.4179591836734694,1,651.6829230060883,-7.800186
0.45278911564625857,1,655.4580837739891,-7.8318405
0.4876190476190476,1,659.2551138257398,-7.810707
0.5224489795918367,1,663.0741398488134,-8.096172
0.5572789115646258,1,666.9152892645752,-8.682133
0.5921088435374149,1,666.9152892645752,-8.717361
0.626938775510204,1,666.9152892645752,-8.9784775
0.6617687074829932,1,663.0741398488134,-8.313396
0.6965986394557824,1,663.0741398488134,-8.182251
0.7314285714285714,1,666.9152892645752,-8.838516
0.7662585034013606,1,666.9152892645752,-8.298462
0.8010884353741496,1,663.0741398488134,-7.8185577
0.8359183673469388,1,663.0741398488134,-7.7889214
0.870748299319728,1,663.0741398488134,-7.834446
0.9055782312925171,1,659.2551138257398,-8.002499
0.9404081632653061,1,659.2551138257398,-8.299004
0.9752380952380952,1,659.2551138257398,-8.639942
1.0100680272108844,1,659.2551138257398,-8.870045
1.0448979591836733,1,659.2551138257398,-8.885735
1.0797278911564625,1,659.2551138257398,-8.931881
1.1145578231292517,1,655.4580837739891,-8.889282
1.1493877551020408,1,659.2551138257398,-8.8035965
1.1842176870748298,1,659.2551138257398,-8.994247
1.2190476190476192,1,659.2551138257398,-9.292229
1.253877551020408,1,663.0741398488134,-9.363251
1.2887074829931973,1,663.0741398488134,-9.12431
1.3235374149659864,1,663.0741398488134,-8.971489
1.3583673469387756,1,663.0741398488134,-8.963493
1.3931972789115648,1,663.0741398488134,-8.947254
1.4280272108843537,1,663.0741398488134,-8.992447
1.4628571428571429,1,663.0741398488134,-9.097595
1.497687074829932,1,659.2551138257398,-9.17157
1.5325170068027212,1,659.2551138257398,-9.190937
1.5673469387755103,1,655.4580837739891,-9.09734
1.6021768707482993,1,651.6829230060883,-9.252914
1.6370068027210882,1,651.6829230060883,-9.543953
1.6718367346938776,1,651.6829230060883,-9.572998
1.7066666666666666,1,651.6829230060883,-9.497185
1.741496598639456,1,655.4580837739891,-9.519295
1.7763265306122449,1,659.2551138257398,-9.466274
1.8111564625850343,1,659.2551138257398,-9.237003
1.845986394557823,1,663.0741398488134,-9.377895
